"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Panzerschrank9","Der Laptop funktioniert arbeitet für meine Zwecke mehr als zufriedenstellend. Nutze den Laptop in folgenden Situationen: Microsoft Office 365, Online Meetings, aufwändige Online-Recherchen, einige spezielle Programme (seltener).Der Laptop kam betriebsbereit. Einzig das Betriebssystem musste mithilfe des Assistenten eingestellt werden (Konto etc.). Alles lief bestens ab.Der Fingerabdrucksensor funktioniert problemlos und fehlerfrei.Die Tastatur war für mich anfangs gewöhnungsbedürftig, weil ich für eine sehr lange Zeit ein anderes Fabrikat verwendet habe. Mittlerweile ist das kein Thema mehr.Das Display ist ganz gut, aus jedem Blickwinkel ausreichend sichtbar - sitze allerdings immer vor dem Laptop und brauche auch die seitliche Anzeigequalität gar nicht.Merke nicht, dass sich der Laptop aufwärmt (bei Ausführung der oben erwähnten Tätigkeiten).Würde ich weiterempfehlen.","Verified Purchase","Reviewed in Germany on 23 January 2023","4.3 out of 5 stars"
"22","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Uwe","Die Leistung ist genial. Toller Laptop. Derzeit unschlagbar im Preis-Leistungs-Verhältnis. Ich kann ihn einfach nur empfehlen! Von daher habe ich ihn direkt nach meiner Erfahrung nochmal für einen Freund gekauft, der etwas ratlos gesucht hat. Auch hier nur ein tolles Feedback. Vermutlich kaufe ich ihn für eine Freundin dann in Kürze auch noch ein drittes mal.","Verified Purchase","Reviewed in Germany on 26 August 2022","1.0 out of 5 stars"
"23","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Gerry","Klar ist es kein Hyper Laptop, jedoch reicht es für alles ""normale"" aus.Kamera ist eine 4/10. Ist ok, aber man sollte sich kein 4k Bild erhoffen.Er wird manchmal lauter aber das stört nur minimal.Für den preis welchen ich ihn bekommen habe hat es sich sehr gelohnt!","Verified Purchase","Reviewed in Germany on 4 October 2022","1.0 out of 5 stars"
"24","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Ruben","Unbrauchbares Laptop schon bei kleinste Belasstung (10Browser und World ind Excel) offen ist der Arbeitsspeicher bei 80% Auslastung und bremst ungeheuerlich das System. Ich würde sagen alles in Einem ein unbrauchbares Notebook.Ich habe versucht alle Autostart programme zu reinigen und soweit es optimiert, trotzdem lagsam und bei 60% Arbeitsspeicher. Ich bin kein pc experte würde aber diesen Produkt für 600,-eur als ungeeignet ansehen.Werde es zurückschicken als Defekt!!!!","Verified Purchase","Reviewed in Germany on 17 April 2023","5.0 out of 5 stars"
"25","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Mausiber18","Seit ca. nem halben Jahr mein treuer Begleiter.Alles perfekt.","Verified Purchase","Reviewed in Germany on 30 April 2023","5.0 out of 5 stars"
"26","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Mausiber18","The media could not be loaded.","Verified Purchase","Reviewed in Germany on 27 December 2021","1.0 out of 5 stars"
"27","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","NiZiii","Also mir hat der Laptop sehr gefallen ist wirklich schnell.da ich nicht spiele und die Kamera nicht benutze kann ich nichts sagen.ich brauche die laptop nur für altägliche sachen und für meine arbeit.in allgemeine ist es für mich wirklich ein super Laptop.","Verified Purchase","Reviewed in Germany on 5 June 2022","1.0 out of 5 stars"
"28","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Solomon","Ein wirklich guter Laptop. Klein (14 zoll), schnell und edles Design und vor allem leicht. Tolles, helles Display. Schnelle Startup Zeiten (unter 8 Sekunden). Gut bedienbare Tastatur. Im Angebot gekauft - Preis Leistung einfach unschlagbar.Einziger Kritikpunkt ist die Kamera. Sie ist zwar verschließbar, aber insgesamt nicht besonders gut.","Verified Purchase","Reviewed in Germany on 12 December 2021","5.0 out of 5 stars"
"29","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Muhammed","Alles sehr gut...Nutze es für alltägliche Dinge","Verified Purchase","Reviewed in Germany on 4 January 2022","4.0 out of 5 stars"
"30","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Bertin Henke","All ok","Verified Purchase","Reviewed in Germany on 22 March 2023","5.0 out of 5 stars"
"31","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Kelvin","Works very well for daily use. light, keeps charge for 4 - 6hrs depending on the use.The camera could be better.I'm not a gamer so can't comment on its gaming capabilities.Overall value for money","Verified Purchase","Reviewed in Germany on 22 December 2021","4.3 out of 5 stars"
"32","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Peter","Für diesen Preis ein Top Gerät. Lieferung kam sogar einen tag früher als erwartet, die Einrichtung ist selbsterklärend und schnell abgeschlossen. Bootvorgang ist durch die SSD blitzschnell, Anwendungen starten auch sehr schnell.","Verified Purchase","Reviewed in Germany on 5 March 2022","5.0 out of 5 stars"
"33","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Gustavsson","Endlich wieder ein Laptop was für mich superschnell ist. Ich kann nur sagen dass war ein super Kauf.","Verified Purchase","Reviewed in Germany on 12 January 2022","5.0 out of 5 stars"
"34","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Mehedi Al-Zamy Sagar","Very portable and lightweight. Fast with Interl i3 and 8gb ram. Use it everyday.","Verified Purchase","Reviewed in Germany on 3 March 2022","5.0 out of 5 stars"
"35","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Walter Weinbauer","Mit hat die Marke und der Preis gefallen!","Verified Purchase","Reviewed in Germany on 2 May 2022","5.0 out of 5 stars"
"36","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Simone","","Verified Purchase","Reviewed in Germany on 21 July 2022","5.0 out of 5 stars"
"37","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Simone","Ich benötige diesen neuen Laptop für die Diagnose an Kraftfahrzeugen (Forscan Diagnoseprogramm für Ford) ,der neue Laptop ist superschnell,startet blitzschnell. Es hat bisher alles einwandfrei funktioniert. 😊","Verified Purchase","Reviewed in Germany on 30 June 2021","5.0 out of 5 stars"
"38","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Jörg Sembritzki","Sehr leicht und ausreichend","Verified Purchase","Reviewed in Germany on 16 April 2022","5.0 out of 5 stars"
"39","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Harald Kulmer","It was for christmas' gift for a French person and it's a QWERTZ keyboard (it's not specified in the description's item) and Amazon wouldn't exchange the same item with a correct keyboard (like AZERTY). We are very disappointed about Amazon. We will not recommend to order through Amazon.","Verified Purchase","Reviewed in Germany on 29 December 2021","5.0 out of 5 stars"
"40","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Burvenique Dimitri","Einfach Top!!","Verified Purchase","Reviewed in Germany on 15 February 2022","5.0 out of 5 stars"
"41","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Azhar","Wi-Fi sometimes connects sometimes doesn’t. Processor fan is very noisy yet nothing is installed on laptop. To return it back it will cost €198 with DHL as post office refused to take. Not happy as faulty product is delivered.","Verified Purchase","Reviewed in Germany on 23 March 2022","4.3 out of 5 stars"
"42","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Michaela","Top Gerät. Schneller geliefert als gedacht. Das Preis leistungs Verhältnis hält was es verspricht 👍","Verified Purchase","Reviewed in Germany on 2 June 2021","1.0 out of 5 stars"
"43","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Fabrizio Dona'","There's no way on hell to exit the Windows 10 S mode. Which makes the machine completely useless (for instance, you can't even install Microsft's Minecraft).","Verified Purchase","Reviewed in Germany on 22 December 2021","5.0 out of 5 stars"
"44","Electronics","Lenovo Ideapad 3 Slim Laptop | 14 Inch Full HD WideView Display Anti-Glare | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 Home | Grey","Issa","Ich kann das Vertrauen des Kunden nicht haben","Verified Purchase","Reviewed in Germany on 24 June 2022","1.0 out of 5 stars"
