"","title","author","subject","abstract","meta"
"11","Pay Attention: a Call to Regulate the Attention Market and Prevent Algorithmic Emotional Governance","Franck Michel, Fabien Gandon","Social and Information Networks (cs.SI)","Abstract:Over the last 70 years, we, humans, have created an economic market where attention is being captured and turned into money thanks to advertising. During the last two decades, leveraging research in psychology, sociology, neuroscience and other domains, Web platforms have brought the process of capturing attention to an unprecedented scale. With the initial commonplace goal of making targeted advertising more effective, the generalization of attention-capturing techniques and their use of cognitive biases and emotions have multiple detrimental side effects such as polarizing opinions, spreading false information and threatening public health, economies and democracies. This is clearly a case where the Web is not used for the common good and where, in fact, all its users become a vulnerable population. This paper brings together contributions from a wide range of disciplines to analyze current practices and consequences thereof. Through a set of propositions and principles that could be used do drive further works, it calls for actions against these practices competing to capture our attention on the Web, as it would be unsustainable for a civilization to allow attention to be wasted with impunity on a world-wide scale.","Mon, 26 Feb 2024 15:46:43 UTC (70 KB)"
"12","Dislike of general opinion makes for tight elections","Olivier Devauchelle, Piotr Szymczak, Piotr Nowakowski","Statistical Mechanics (cond-mat.stat-mech)","Abstract:In modern democracies, the outcome of elections and referendums is often remarkably tight. The repetition of these divisive events are the hallmark of a split society; to the physicist, however, it is an astonishing feat for such large collections of diverse individuals. Many sociophysics models reproduce the emergence of collective human behavior with interacting agents, which respond to their environment according to simple rules, modulated by random fluctuations. A paragon of this class is the Ising model which, when interactions are strong, predicts that order can emerge from a chaotic initial state. In contrast with many elections, however, this model favors a strong majority. Here, we introduce a new element to this classical theory, which accounts for the influence of opinion polls on the electorate. This brings about a new phase in which two groups divide the opinion equally. These political camps are spatially segregated, and the sharp boundary that separates them makes the system size-dependent, even in the limit of a large electorate. Election data show that, over the last 30 years, countries with more than about a million voters often found themselves in this state, whereas elections in smaller countries yielded more consensual results. We suggest that this transition hinges on the electorate's awareness of the general opinion.","Mon, 19 Feb 2024 15:12:10 UTC (626 KB)"
"13","Modelling Political Coalition Negotiations Using LLM-based Agents","Farhad Moghimifar, Yuan-Fang Li, Robert Thomson, Gholamreza Haffari","Computation and Language (cs.CL)","Abstract:Coalition negotiations are a cornerstone of parliamentary democracies, characterised by complex interactions and strategic communications among political parties. Despite its significance, the modelling of these negotiations has remained unexplored with the domain of Natural Language Processing (NLP), mostly due to lack of proper data. In this paper, we introduce coalition negotiations as a novel NLP task, and model it as a negotiation between large language model-based agents. We introduce a multilingual dataset, POLCA, comprising manifestos of European political parties and coalition agreements over a number of elections in these countries. This dataset addresses the challenge of the current scope limitations in political negotiation modelling by providing a diverse, real-world basis for simulation. Additionally, we propose a hierarchical Markov decision process designed to simulate the process of coalition negotiation between political parties and predict the outcomes. We evaluate the performance of state-of-the-art large language models (LLMs) as agents in handling coalition negotiations, offering insights into their capabilities and paving the way for future advancements in political modelling.","Sun, 18 Feb 2024 21:28:06 UTC (9,092 KB)"
"14","The principal components of electoral regimes -- Separating autocracies from pseudo-democracies","Karoline Wiesner, Samuel Bien, Matthew C. Wilson","Physics and Society (physics.soc-ph)","Abstract:A critical issue for society today is the emergence and decline of democracy worldwide. It is unclear, however, how democratic features, such as elections and civil liberties, influence this change. Democracy indices, which are the standard tool to study this question, are based on the a priori assumption that improvement in any individual feature strengthens democracy overall. We show that this assumption does not always hold. We use the V-Dem dataset for a quantitative study of electoral regimes worldwide during the 20th century. We find a so-far overlooked trade-off between election quality and civil liberties. In particular, we identify a threshold in the democratisation process at which the correlation between election quality and civil liberties flips from negative to positive. Below this threshold we can thus clearly separate two kinds of non-democratic regimes: autocracies that govern through tightly controlled elections and regimes in which citizens are free but under less certainty -- a distinction that existing democracy indices cannot make. We discuss the stabilising role of election quality uncovered here in the context of the recently observed decline in democracy score of long-standing democracies, so-called `democratic backsliding' or `democratic recession'.","Sat, 17 Feb 2024 17:06:19 UTC (2,840 KB)"
"15","Combining Voting and Abstract Argumentation to Understand Online Discussions","Michael Bernreiter, Jan Maly, Oliviero Nardi, Stefan Woltran","Computer Science and Game Theory (cs.GT)","Abstract:Online discussion platforms are a vital part of the public discourse in a deliberative democracy. However, how to interpret the outcomes of the discussions on these platforms is often unclear. In this paper, we propose a novel and explainable method for selecting a set of most representative, consistent points of view by combining methods from computational social choice and abstract argumentation. Specifically, we model online discussions as abstract argumentation frameworks combined with information regarding which arguments voters approve of. Based on ideas from approval-based multiwinner voting, we introduce several voting rules for selecting a set of preferred extensions that represents voters' points of view. We compare the proposed methods across several dimensions, theoretically and in numerical simulations, and give clear suggestions on which methods to use depending on the specific situation.","Thu, 8 Feb 2024 18:35:38 UTC (1,894 KB)"
"16","Liquid Democracy for Low-Cost Ensemble Pruning","Ben Armstrong, Kate Larson","Machine Learning (cs.LG)","Abstract:We argue that there is a strong connection between ensemble learning and a delegative voting paradigm -- liquid democracy -- that can be leveraged to reduce ensemble training costs. We present an incremental training procedure that identifies and removes redundant classifiers from an ensemble via delegation mechanisms inspired by liquid democracy. Through both analysis and extensive experiments we show that this process greatly reduces the computational cost of training compared to training a full ensemble. By carefully selecting the underlying delegation mechanism, weight centralization in the classifier population is avoided, leading to higher accuracy than some boosting methods. Furthermore, this work serves as an exemplar of how frameworks from computational social choice literature can be applied to problems in nontraditional domains.","Tue, 30 Jan 2024 21:11:35 UTC (6,080 KB)"
"17","Enabling the Digital Democratic Revival: A Research Program for Digital Democracy","Davide Grossi, Ulrike Hahn, Michael Mäs, Andreas Nitsche, Jan Behrens, Niclas Boehmer, Markus Brill, Ulle Endriss, Umberto Grandi, Adrian Haret, Jobst Heitzig, Nicolien Janssens, Catholijn M. Jonker, Marijn A. Keijzer, Axel Kistner, Martin Lackner, Alexandra Lieben, Anna Mikhaylovskaya, Pradeep K. Murukannaiah, Carlo Proietti, Manon Revel, Élise Rouméas, Ehud Shapiro, Gogulapati Sreedurga, Björn Swierczek, Nimrod Talmon, Paolo Turrini, Zoi Terzopoulou, Frederik Van De Putte","Computers and Society (cs.CY)","Abstract:This white paper outlines a long-term scientific vision for the development of digital-democracy technology. We contend that if digital democracy is to meet the ambition of enabling a participatory renewal in our societies, then a comprehensive multi-methods research effort is required that could, over the years, support its development in a democratically principled, empirically and computationally informed way. The paper is co-authored by an international and interdisciplinary team of researchers and arose from the Lorentz Center Workshop on ``Algorithmic Technology for Democracy'' (Leiden, October 2022).","Tue, 30 Jan 2024 10:12:49 UTC (359 KB)"
"18","The impact of Hong Kong's anti-ELAB movement on political related firms","Ziqi Wang","General Finance (q-fin.GN)","Abstract:Hong Kong's anti-ELAB movement had a significant impact on the stock market the stock price of listed companies. Using the number of protestors as the measurement of daily protesting intensity from 2019/6/6 to 2020/1/17, this paper documents that the stock price of listed companies associated with the pan-democratic parties were more negatively affected by protesting than other companies. Furthermore, this paper finds that after the implementation of the anti-mask law, protesting had a positive impact on red chips but a negative impact on companies related to pan-democracy parties. Therefore, this paper believes that after the central government and the HKSAR government adopted strict measures to stop violence and chaos, the value of the political connection of red chips became positive while the value of the connection with pan-democracy parties became negative.","Tue, 28 Nov 2023 21:44:09 UTC (1,090 KB)"
"19","Politics and Propaganda on Social Media: How Twitter and Meta Moderate State-Linked Information Operations","Nihat Mugurtay, Umut Duygu, Onur Varol","Social and Information Networks (cs.SI)","Abstract:Why do Social Media Corporations (SMCs) engage in state-linked information operations? Social media can significantly influence the global political landscape, allowing governments and other political entities to engage in concerted information operations, shaping or manipulating domestic and foreign political agendas. In response to state-linked political manipulation tactics on social media, Twitter and Meta carried out take-down operations against propaganda networks, accusing them of interfering foreign elections, organizing disinformation campaigns, manipulating political debates and many other issues. This research investigates the two SMCs' policy orientation to explain which factors can affect these two companies' reaction against state-linked information operations. We find that good governance indicators such as democracy are significant elements of SMCs' country-focus. This article also examines whether Meta and Twitter's attention to political regime characteristics is influenced by international political alignments. This research illuminates recent trends in SMCs' take-down operations and illuminating interplay between geopolitics and domestic regime characteristics.","Thu, 4 Jan 2024 06:53:25 UTC (671 KB)"
"20","Consumer Manipulation via Online Behavioral Advertising","Lex Zard","Computers and Society (cs.CY)","Abstract:Online behavioral advertising (OBA) has a significant role in the digital economy. It allows advertisers to target consumers categorized according to their algorithmically inferred interests based on their behavioral data. As Alphabet and Meta gatekeep the Internet with their digital platforms and channel most of the consumer attention online, they are best placed to execute OBA and earn profits far exceeding fair estimations. There are increasing concerns that gatekeepers achieve such profitability at the expense of consumers, advertisers, and publishers who are dependent on their services to access the Internet. In particular, some claim that OBA systematically exploits consumers' decision-making vulnerabilities, creating internet infrastructure and relevant markets that optimize for consumer manipulation.
Intuitively, consumer manipulation via OBA comes in tension with the ideal of consumer autonomy in liberal democracies. Nevertheless, academia has largely overlooked this phenomenon and instead has primarily focused on privacy and discrimination concerns of OBA. This article redirects academic discourse and regulatory focus on consumer manipulation via OBA. In doing so, first, this article elaborates on how OBA works. Second, it constructs an analytic framework for understanding manipulation. Third, it applies the theory of manipulation to OBA. As a result, this article illustrates the extent to which OBA leads to consumer manipulation. Crucially, this article is purely analytic and avoids normative evaluation of consumer manipulation via OBA. Evaluating consumer manipulation harms of OBA is an equally important but separate task and is pursued in another publication.","Sat, 30 Dec 2023 11:10:35 UTC (1,083 KB)"
"21","Unravelling Expressive Delegations: Complexity and Normative Analysis","Giannis Tyrovolas, Andrei Constantinescu, Edith Elkind","Computer Science and Game Theory (cs.GT)","Abstract:We consider binary group decision-making under a rich model of liquid democracy recently proposed by Colley, Grandi, and Novaro (2022): agents submit ranked delegation options, where each option may be a function of multiple agents' votes; e.g., ""I vote yes if a majority of my friends vote yes."" Such ballots are unravelled into a profile of direct votes by selecting one entry from each ballot so as not to introduce cyclic dependencies. We study delegation via monotonic Boolean functions, and two unravelling procedures: MinSum, which minimises the sum of the ranks of the chosen entries, and its egalitarian counterpart, MinMax. We provide complete computational dichotomies: MinSum is hard to compute (and approximate) as soon as any non-trivial functions are permitted, and polynomial otherwise; for MinMax the easiness results extend to arbitrary-arity logical ORs and ANDs taken in isolation, but not beyond. For the classic model of delegating to individual agents, we give asymptotically near-tight algorithms for carrying out the two procedures and efficient algorithms for finding optimal unravellings with the highest vote count for a given alternative. These algorithms inspire novel tie-breaking rules for the setup of voting to change a status quo. We then introduce a new axiom, which can be viewed as a variant of the participation axiom, and use algorithmic techniques developed earlier in the paper to show that it is satisfied by MinSum and a lexicographic refinement of MinMax (but not MinMax itself).","Tue, 19 Dec 2023 08:18:26 UTC (48 KB)"
"22","From Brussels Effect to Gravity Assists: Understanding the Evolution of the GDPR-Inspired Personal Information Protection Law in China","Wenlong Li, Jiahong Chen","Computers and Society (cs.CY)","Abstract:This paper explores the evolution of China's Personal Information Protection Law (PIPL) and situates it within the context of global data protection development. It draws inspiration from the theory of 'Brussels Effect' and its precedents, that describes the extraterritorial influence of EU regulations. Our objective is not to provide a commentary on China's legal development but to illuminate the intricate dynamics between the Chinese law and the EU's GDPR. It is argued that the trajectory of China's Personal Information Protection Law calls into question the applicability of the Brussels Effect: while the GDPR's imprint on the PIPL is evident, a deeper analysis unveils China's nuanced, non-linear adoption that diverges from many assumptions of the Brussels Effect and similar theories. The evolution of the GDPR-inspired PIPL is not as a straightforward outcome of the Brussels Effect but as a nuanced, intricate interplay of external influence and domestic dynamics. We introduce a complementary theory of 'gravity assist' which portrays China's strategic instrumentalisation of the GDPR as a template to shape its unique data protection landscape. Our conceptual framework highlights how China navigates through a patchwork of internal considerations, international standards, and strategic choices, ultimately sculpting a data protection regime that has a similar appearance to the GDPR but aligns with its distinct political, cultural and legal landscape. This reveals much about how China takes in the foundational premises of data protection that are inherently built in Europe's cherishment of the rule of law, democracy and human rights on the one hand, and the evaluation of data protection as a fundamental right.","Wed, 13 Dec 2023 15:58:40 UTC (408 KB)"
"23","Affective and interactional polarization align across countries","Max Falkenberg, Fabiana Zollo, Walter Quattrociocchi, Jürgen Pfeffer, Andrea Baronchelli","Physics and Society (physics.soc-ph)","Abstract:Political polarization plays a pivotal and potentially harmful role in a democracy. However, existing studies are often limited to a single country and one form of polarization, hindering a comprehensive understanding of the phenomena. Here we investigate how affective and interactional polarization are related across nine countries (Canada, France, Germany, Italy, Poland, Spain, Turkey, UK, USA). First, we show that political interaction networks are polarized on Twitter. Second, we reveal that out-group interactions, defined by the network, are more toxic than in-group interactions, meaning that affective and interactional polarization are aligned. Third, we show that out-group interactions receive lower engagement than in-group interactions. Finally, we show that the political right reference lower reliability media than the political left, and that interactions between politically engaged accounts are limited and rarely reciprocated. These results hold across countries and represent a first step towards a more unified understanding of polarization.","Thu, 30 Nov 2023 13:18:05 UTC (1,908 KB)"
"24","Unsupervised Multimodal Deepfake Detection Using Intra- and Cross-Modal Inconsistencies","Mulin Tian, Mahyar Khayatkhoei, Joe Mathai, Wael AbdAlmageed","Computer Vision and Pattern Recognition (cs.CV)","Abstract:Deepfake videos present an increasing threat to society with potentially negative impact on criminal justice, democracy, and personal safety and privacy. Meanwhile, detecting deepfakes, at scale, remains a very challenging tasks that often requires labeled training data from existing deepfake generation methods. Further, even the most accurate supervised learning, deepfake detection methods do not generalize to deepfakes generated using new generation methods. In this paper, we introduce a novel unsupervised approach for detecting deepfake videos by measuring of intra- and cross-modal consistency among multimodal features; specifically visual, audio, and identity features. The fundamental hypothesis behind the proposed detection method is that since deepfake generation attempts to transfer the facial motion of one identity to another, these methods will eventually encounter a trade-off between motion and identity that enviably leads to detectable inconsistencies. We validate our method through extensive experimentation, demonstrating the existence of significant intra- and cross- modal inconsistencies in deepfake videos, which can be effectively utilized to detect them with high accuracy. Our proposed method is scalable because it does not require pristine samples at inference, generalizable because it is trained only on real data, and is explainable since it can pinpoint the exact location of modality inconsistencies which are then verifiable by a human expert.","Tue, 28 Nov 2023 03:28:19 UTC (1,618 KB)"
"25","AI and Democracy's Digital Identity Crisis","Shrey Jain, Connor Spelliscy, Samuel Vance-Law, Scott Moore","Cryptography and Security (cs.CR)","Abstract:AI-enabled tools have become sophisticated enough to allow a small number of individuals to run disinformation campaigns of an unprecedented scale. Privacy-preserving identity attestations can drastically reduce instances of impersonation and make disinformation easy to identify and potentially hinder. By understanding how identity attestations are positioned across the spectrum of decentralization, we can gain a better understanding of the costs and benefits of various attestations. In this paper, we discuss attestation types, including governmental, biometric, federated, and web of trust-based, and include examples such as e-Estonia, China's social credit system, Worldcoin, OAuth, X (formerly Twitter), Gitcoin Passport, and EAS. We believe that the most resilient systems create an identity that evolves and is connected to a network of similarly evolving identities that verify one another. In this type of system, each entity contributes its respective credibility to the attestation process, creating a larger, more comprehensive set of attestations. We believe these systems could be the best approach to authenticating identity and protecting against some of the threats to democracy that AI can pose in the hands of malicious actors. However, governments will likely attempt to mitigate these risks by implementing centralized identity authentication systems; these centralized systems could themselves pose risks to the democratic processes they are built to defend. We therefore recommend that policymakers support the development of standards-setting organizations for identity, provide legal clarity for builders of decentralized tooling, and fund research critical to effective identity authentication systems.","Mon, 25 Sep 2023 14:15:18 UTC (345 KB)"
"26","From deepfake to deep useful: risks and opportunities through a systematic literature review","Nikolaos Misirlis, Harris Bin Munawar","Social and Information Networks (cs.SI)","Abstract:Deepfake videos are defined as a resulting media from the synthesis of different persons images and videos, mostly faces, replacing a real one. The easy spread of such videos leads to elevated misinformation and represents a threat to society and democracy today. The present study aims to collect and analyze the relevant literature through a systematic procedure. We present 27 articles from scientific databases revealing threats to society, democracies, the political life but present as well advantages of this technology in entertainment, gaming, education, and public life. The research indicates high scientific interest in deepfake detection algorithms as well as the ethical aspect of such technology. This article covers the scientific gap since, to the best of our knowledge, this is the first systematic literature review in the field. A discussion has already started among academics and practitioners concerning the spread of fake news. The next step of fake news considers the use of artificial intelligence and machine learning algorithms that create hyper-realistic videos, called deepfake. Deepfake technology has continuously attracted the attention of scholars over the last 3 years more and more. The importance of conducting research in this field derives from the necessity to understand the theory. The first contextual approach is related to the epistemological points of view of the concept. The second one is related to the phenomenological disadvantages of the field. Despite that, the authors will try to focus not only on the disadvantages of the field but also on the positive aspects of the technology.","Mon, 27 Nov 2023 13:31:40 UTC (1,315 KB)"
